Creating OBB and QBB count file...
ultralytics/trackers/track.py: OBB=6, QBB=5
ultralytics/trackers/basetrack.py: OBB=0, QBB=0
ultralytics/trackers/__init__.py: OBB=0, QBB=0
ultralytics/trackers/bot_sort.py: OBB=0, QBB=0
ultralytics/trackers/utils/matching.py: OBB=0, QBB=0
ultralytics/trackers/utils/__init__.py: OBB=0, QBB=0
ultralytics/trackers/utils/gmc.py: OBB=0, QBB=0
ultralytics/trackers/utils/kalman_filter.py: OBB=0, QBB=0
ultralytics/trackers/byte_tracker.py: OBB=0, QBB=0
ultralytics/models/nas/val.py: OBB=0, QBB=0
ultralytics/models/nas/model.py: OBB=0, QBB=0
ultralytics/models/nas/__init__.py: OBB=0, QBB=0
ultralytics/models/nas/predict.py: OBB=0, QBB=0
ultralytics/models/__init__.py: OBB=0, QBB=0
ultralytics/models/yolo/classify/val.py: OBB=0, QBB=0
ultralytics/models/yolo/classify/__init__.py: OBB=0, QBB=0
ultralytics/models/yolo/classify/predict.py: OBB=0, QBB=0
ultralytics/models/yolo/classify/train.py: OBB=0, QBB=0
ultralytics/models/yolo/qbb/val.py: OBB=1, QBB=27
ultralytics/models/yolo/qbb/__init__.py: OBB=0, QBB=6
ultralytics/models/yolo/qbb/predict.py: OBB=2, QBB=17
ultralytics/models/yolo/qbb/train.py: OBB=0, QBB=31
ultralytics/models/yolo/obb/val.py: OBB=26, QBB=0
ultralytics/models/yolo/obb/__init__.py: OBB=6, QBB=0
ultralytics/models/yolo/obb/predict.py: OBB=16, QBB=0
ultralytics/models/yolo/obb/train.py: OBB=28, QBB=0
ultralytics/models/yolo/model.py: OBB=11, QBB=11
ultralytics/models/yolo/__init__.py: OBB=2, QBB=2
ultralytics/models/yolo/yoloe/val.py: OBB=0, QBB=0
ultralytics/models/yolo/yoloe/__init__.py: OBB=0, QBB=0
ultralytics/models/yolo/yoloe/train_seg.py: OBB=0, QBB=0
ultralytics/models/yolo/yoloe/predict.py: OBB=0, QBB=0
ultralytics/models/yolo/yoloe/train.py: OBB=0, QBB=0
ultralytics/models/yolo/world/train_world.py: OBB=0, QBB=0
ultralytics/models/yolo/world/__init__.py: OBB=0, QBB=0
ultralytics/models/yolo/world/train.py: OBB=0, QBB=0
ultralytics/models/yolo/pose/val.py: OBB=0, QBB=0
ultralytics/models/yolo/pose/__init__.py: OBB=0, QBB=0
ultralytics/models/yolo/pose/predict.py: OBB=0, QBB=0
ultralytics/models/yolo/pose/train.py: OBB=0, QBB=0
ultralytics/models/yolo/segment/val.py: OBB=0, QBB=0
ultralytics/models/yolo/segment/__init__.py: OBB=0, QBB=0
ultralytics/models/yolo/segment/predict.py: OBB=0, QBB=0
ultralytics/models/yolo/segment/train.py: OBB=0, QBB=0
ultralytics/models/yolo/detect/val.py: OBB=1, QBB=1
ultralytics/models/yolo/detect/__init__.py: OBB=0, QBB=0
ultralytics/models/yolo/detect/predict.py: OBB=1, QBB=1
ultralytics/models/yolo/detect/train.py: OBB=0, QBB=0
ultralytics/models/utils/ops.py: OBB=0, QBB=0
ultralytics/models/utils/__init__.py: OBB=0, QBB=0
ultralytics/models/utils/loss.py: OBB=0, QBB=0
ultralytics/models/rtdetr/val.py: OBB=0, QBB=0
ultralytics/models/rtdetr/model.py: OBB=0, QBB=0
ultralytics/models/rtdetr/__init__.py: OBB=0, QBB=0
ultralytics/models/rtdetr/predict.py: OBB=0, QBB=0
ultralytics/models/rtdetr/train.py: OBB=0, QBB=0
ultralytics/models/sam/model.py: OBB=0, QBB=0
ultralytics/models/sam/__init__.py: OBB=0, QBB=0
ultralytics/models/sam/modules/blocks.py: OBB=0, QBB=0
ultralytics/models/sam/modules/utils.py: OBB=0, QBB=0
ultralytics/models/sam/modules/memory_attention.py: OBB=0, QBB=0
ultralytics/models/sam/modules/sam.py: OBB=0, QBB=0
ultralytics/models/sam/modules/__init__.py: OBB=0, QBB=0
ultralytics/models/sam/modules/transformer.py: OBB=0, QBB=0
ultralytics/models/sam/modules/encoders.py: OBB=0, QBB=0
ultralytics/models/sam/modules/decoders.py: OBB=0, QBB=0
ultralytics/models/sam/modules/tiny_encoder.py: OBB=0, QBB=0
